# c_D2(%), T(K), sigma(dyne/cm)		
7.2	20.44	1.98
7.2	19.98	2.04
7.2	19.66	2.11
7.2	19.28	2.18
7.2	18.82	2.25
7.2	18.48	2.31
7.2	18.23	2.35
7.2	17.94	2.40
15.2	20.44	2.10
15.2	20.43	2.10
15.2	19.61	2.24
15.2	19.17	2.31
15.2	18.80	2.38
15.2	18.35	2.45
15.2	17.74	2.57
23.6	20.43	2.19
23.6	20.41	2.21
23.6	20.08	2.26
23.6	19.48	2.37
23.6	19.43	2.38
23.6	18.69	2.52
23.6	18.08	2.62
23.6	17.47	2.71
23.6	16.44	2.86
32.8	20.42	2.31
32.8	20.41	2.31
32.8	20.41	2.31
32.8	19.27	2.53
32.8	18.86	2.60
32.8	18.25	2.70
32.8	18.48	2.67
32.8	17.92	2.76
38.6	20.45	2.34
38.6	20.44	2.37
38.6	20.46	2.37
38.6	20.44	2.36
38.6	20.43	2.35
38.6	20.39	2.39
38.6	20.32	2.39
38.6	19.46	2.33
38.6	18.85	2.63
38.6	18.40	2.76
38.6	17.21	2.92
38.6	17.14	2.95
49.9	20.46	2.62
49.9	20.44	2.62
49.9	20.44	2.63
49.9	20.43	2.64
49.9	19.96	2.72
49.9	19.39	2.82
49.9	18.94	2.91
49.9	18.93	2.91
74.1	20.44	2.89
74.1	20.44	2.89
74.1	20.43	2.90
74.1	19.99	2.97
74.1	19.94	2.98
74.1	19.39	3.10
74.1	18.96	3.18
74.1	18.56	3.24
74.1	18.42	3.29
74.1	18.14	3.30
74.1	17.81	3.37
82.3	20.38	3.01
82.3	19.48	3.17
82.3	19.17	3.24
82.3	18.27	3.40
82.3	17.90	3.47
